program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2019,2019 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2019,2019 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2019,2019 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2020,2020 Q1,1109.83,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2020,2020 Q2,596.1,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2020,2020 Q3,541.06,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2020,2020 Q4,623.86,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2021,2021 Q1,2266.11,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2021,2021 Q2,82804.09,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2021,2021 Q3,89549.79,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2021,2021 Q4,160103.2,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2022,2022 Q1,197439.8,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2022,2022 Q2,242480.48,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2022,2022 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2022,2022 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2023,2023 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2023,2023 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2023,2023 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2023,2023 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2024,2024 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2024,2024 Q2,0,0,0
